secs_elapsed,interval_qps
1,156428
2,154353
3,108633
4,124872
5,102294
6,118769
7,102803
8,113437
9,100031
10,105227
11,114997
12,107340
13,117141
14,102996
15,120785
16,100134
17,116306
18,102276
19,105726
20,112653
21,109268
22,124240
23,107446
24,115723
25,100360
26,116841
27,97743
28,112037
29,111115
30,110011
31,119343
32,109485
33,113626
34,101731
35,117558
36,95965
37,114024
38,105720
39,114010
40,107591
41,108267
42,116707
43,102164
44,122145
45,107425
46,117192
47,106372
48,120508
49,113175
50,115669
51,109878
52,112525
53,107912
54,105816
55,118576
56,108506
57,118880
58,99973
59,117787
60,99843
61,112626
62,106870
63,108168
64,114566
65,109264
66,115460
67,103864
68,116831
69,95712
70,112407
71,103152
72,105892
73,114907
74,108432
75,123437
76,122321
77,116200
78,103873
79,118368
80,93437
81,112171
82,108813
83,112137
84,107206
85,103722
86,115317
87,100557
88,114405
90,123078
91,115782
92,105762
93,120173
94,103163
95,112193
96,108677
97,107044
98,115261
99,98358
100,117917
101,127175
102,125779
103,99894
104,117949
105,98363
106,113144
107,104931
108,107678
109,113299
110,106655
111,119096
112,100919
113,120667
114,102154
115,113565
116,100843
117,106579
118,111603
119,108353
120,117508
121,101304
122,120655
123,98371
124,116924
125,98767
126,108770
127,131477
128,115027
129,109588
130,105924
131,112657
132,102570
133,117172
134,98071
135,110818
136,111535
137,115660
138,115405
139,108618
140,124367
141,108542
142,114178
143,101059
144,120527
145,102993
146,121250
147,105090
148,116267
149,104335
150,109274
151,112127
152,104374
153,113900
154,105067
155,119102
156,97793
157,114837
158,104340
159,110556
160,106453
161,102943
162,120847
163,107079
164,123982
165,126747
166,121059
167,98008
168,120395
169,97182
170,111446
171,112524
172,115613
173,114834
174,106351
175,112745
176,102790
177,121009
178,96767
179,114273
180,107377
181,118304
182,105779
183,110786
184,112380
185,103823
186,118304
187,98027
188,115712
189,108262
190,119265
191,106640
192,113552
193,109281
194,107637
195,110031
196,101841
197,122608
198,102719
199,120100
200,100761
201,117852
202,103688
203,111435
204,109016
205,99380
206,117624
207,107012
208,123907
209,103848
210,116022
211,101744
212,113942
213,107440
214,102583
215,118841
216,116590
217,117116
218,105844
219,117202
220,97089
221,118705
222,102428
223,110698
224,111187
225,111325
226,123141
227,108770
228,123683
229,104557
230,116482
231,96565
232,116331
233,110065
234,119863
235,104598
236,114704
237,109432
238,109491
239,111342
240,100126
241,119581
242,100853
243,120999
244,100794
245,114416
246,105884
247,112447
248,112659
249,101492
250,118189
251,105932
252,101355
253,108512
254,115596
255,103241
256,112124
257,108439
258,103368
259,118774
260,104511
261,124565
262,101147
263,118171
264,102119
265,111780
266,129145
267,115862
268,109893
269,111267
270,111917
271,106362
272,119145
273,103170
274,121978
275,94315
276,113456
277,123172
278,118060
280,107700
281,112333
282,110692
283,106181
284,114211
285,98056
286,118796
287,105500
288,120848
289,100481
290,115320
291,104200
292,84088
293,117348
294,97343
295,114495
296,107635
297,116701
298,107652
299,111663
300,108633
301,105717
302,106844
303,95909
304,116377
305,108392
306,119342
307,112669
308,115871
309,105968
310,109191
311,110961
312,99752
313,120825
314,103475
315,119775
316,102491
317,115735
318,113400
319,112839
320,107105
321,103755
322,117336
323,107195
324,121182
325,102006
326,122417
327,113810
328,118958
329,98390
330,110798
331,110976
332,113307
333,113798
334,104199
335,118439
336,102951
337,123343
338,96721
339,112815
340,106165
341,115624
342,131018
343,121298
344,107078
345,109964
346,110377
347,103738
348,126012
349,122042
350,118168
351,104128
352,121983
353,99905
354,115133
355,101018
356,112087
357,127683
358,129882
359,0
360,0
361,0
362,0
363,15026
364,132260
365,96782
366,15417
367,133590
368,95012
369,115486
370,128532
371,90960
372,139021
373,14038
374,73875
375,117097
376,124061
377,112694
378,118042
379,95636
380,111293
381,108023
382,116914
383,107467
384,110708
385,110847
386,106970
387,121736
388,113169
389,113718
390,103171
391,120435
392,102497
393,115357
394,105532
395,110004
396,109300
397,104497
398,123643
399,138208
400,33575
401,18487
402,136099
403,89432
404,116292
405,127776
406,83946
407,139552
408,72816
409,132368
410,59355
411,0
412,109282
413,134787
414,0
415,0
416,68379
417,100598
418,121591
419,100755
420,113721
421,110505
422,113977
423,110109
424,111003
425,110538
426,105839
427,123418
428,113402
429,117136
430,105368
431,124048
432,100505
433,118286
434,101390
435,110932
436,107313
437,105196
438,118449
439,105496
440,119623
441,101083
442,120607
443,100261
444,115090
445,102773
446,106561
448,116069
449,110637
450,116610
451,103959
452,122255
453,98872
454,118071
455,98567
456,108347
457,111260
458,111909
459,112908
460,103002
461,121754
462,102357
463,115966
464,106407
465,108871
466,109866
467,113773
468,120968
469,108119
470,112530
471,105250
472,116932
473,97752
474,118117
475,104718
476,116838
477,107804
478,112000
479,112591
480,106817
481,117201
482,102278
483,115504
484,106827
485,120635
486,103939
487,116877
488,106606
489,113461
490,105697
491,103332
492,126650
493,145556
494,35500
495,132108
496,97299
497,0
498,112852
499,131167
500,71847
501,135457
502,79502
503,133596
504,67636
505,0
506,75300
507,133361
508,35408
509,3857
510,120806
511,114813
512,129656
513,109977
514,110607
515,111720
516,113736
517,107350
518,119749
519,102617
520,118199
521,96357
522,113298
523,134645
524,119713
525,103146
526,112765
527,108730
528,110935
529,110399
530,100910
531,119264
532,103174
533,121167
534,103214
535,114840
536,106931
537,113316
538,109505
539,104398
540,116988
541,106802
542,98102
543,106616
544,116971
545,103459
546,112581
547,110467
548,105461
549,121844
550,116501
551,118775
552,101869
553,122728
554,98674
555,118094
556,101362
557,112228
558,112238
559,111702
560,119915
561,108723
562,124644
563,140161
564,24267
565,0
566,1174
567,130531
568,112314
569,101915
570,140599
571,1505
572,0
573,52526
574,129349
575,62193
576,0
577,67431
578,136098
579,40539
580,90457
581,112273
582,112378
583,105338
584,121695
585,99711
586,118783
587,106394
588,116479
589,101901
590,107244
591,129832
592,113695
593,114117
594,105405
595,116756
596,100812
597,120563
598,94520
599,111507
600,109856
601,115070
602,112136
603,109920
604,111440
605,102455
606,120830
607,95682
608,116883
609,107768
610,119127
611,117939
612,114658
613,106885
614,106066
615,112316
616,100018
617,120146
618,113030
619,120222
620,100434
621,116100
622,106128
623,111888
624,106819
625,101828
626,116143
627,107425
628,122057
629,97584
630,120517
631,106417
632,114967
633,102575
634,105405
635,114411
636,109652
637,119592
638,103112
639,120585
640,98302
641,118944
642,101586
644,110340
645,110278
646,111598
647,113934
648,103460
649,119892
650,102382
651,120992
652,99713
653,117148
654,110745
655,116716
656,132184
657,115699
658,104352
659,108409
660,108387
661,98129
662,122484
663,104080
664,118771
665,102655
666,117100
667,104947
668,112511
669,112985
670,104187
671,117202
672,106793
673,120671
674,99904
675,114529
676,103600
677,116012
678,104732
679,105687
680,131195
681,120519
682,114554
683,107940
684,115378
685,101455
686,118166
687,92950
688,113662
689,109596
690,112727
691,110567
692,109392
693,127292
694,119411
695,113530
696,100638
697,121771
698,104680
699,122536
700,102694
701,118636
702,105393
703,111677
704,109376
705,103859
706,123893
707,119407
708,115397
709,103894
710,119891
711,97136
712,119195
713,100856
714,109138
715,109812
716,113041
717,118146
718,107033
719,122952
720,105534
721,120904
722,97138
723,117414
724,107745
725,116230
726,109478
727,112676
728,111658
729,107392
730,111603
731,99634
732,121854
733,135981
734,59989
735,0
736,0
737,0
738,0
739,103396
740,140573
741,39367
742,134923
743,74058
744,132975
745,106813
746,110809
747,133160
748,0
749,35953
750,122913
751,121411
752,101514
753,116028
754,103826
755,105665
756,114783
757,110254
758,126560
759,112271
760,116356
761,102578
762,119978
763,96184
764,114825
765,108428
766,116904
767,110828
768,110817
769,111952
770,103973
771,120061
772,98719
773,120180
