secs_elapsed,interval_qps
1,317437
2,324204
3,317883
4,309196
5,305430
6,296595
7,292852
8,291526
9,144319
10,77735
11,78806
12,81679
13,84084
14,86865
15,89189
16,90967
17,94242
18,97619
19,100615
20,103012
21,105110
22,110813
23,114039
24,119148
25,123468
26,125659
27,132436
28,137359
29,142681
30,147888
31,124173
32,62119
33,64925
34,66559
35,67788
36,68883
37,71269
38,73413
39,75823
40,76994
41,78912
42,81610
43,84111
44,87148
45,89272
46,91733
47,94890
48,98938
49,98928
50,102218
51,98115
52,110261
53,115507
54,119284
55,123765
56,127112
57,131705
58,85086
59,61263
60,61871
61,62760
62,64984
63,67079
65,68937
66,68552
67,71392
68,73934
69,76271
70,77802
71,79782
72,81939
73,84972
74,87718
75,89985
76,92360
77,95276
78,98932
79,102387
80,105928
81,108682
82,111913
83,116336
84,121230
85,125590
86,127757
87,67977
88,57904
89,80072
90,81739
91,84206
92,86233
93,89678
94,92764
95,95243
96,97272
97,99935
98,103760
99,106797
100,111214
101,114434
102,118677
103,123697
104,128612
105,133053
106,136203
107,140805
108,146612
109,151016
110,79013
111,63629
112,64877
113,67529
114,69439
115,71075
116,72087
117,74085
118,76730
119,79143
120,81552
121,82703
122,84818
123,88860
124,91569
125,94669
126,96473
127,100072
128,104159
129,108167
130,111303
131,114381
132,118598
133,124396
134,128095
135,133238
136,96686
137,59976
138,61766
139,63222
140,64661
141,65950
142,67009
143,70043
144,71710
145,73907
146,75006
147,76875
148,80352
149,82303
150,84899
151,86494
152,89375
153,93737
154,96118
155,98958
156,101169
157,105511
158,110334
159,114209
160,116180
161,120805
162,124778
163,129807
164,73987
165,60648
166,61048
167,62840
168,64468
169,65660
170,68066
171,68978
172,70385
173,73772
174,75767
175,77627
176,78476
177,81557
178,84720
179,87000
180,89507
181,91857
182,94701
183,98669
184,102330
185,105043
186,107943
187,112312
188,117629
189,120647
190,125647
191,127256
192,64951
193,57196
194,75534
195,81823
196,83650
197,86026
198,89600
199,92612
200,94752
201,96697
202,100396
203,104657
204,108266
205,111324
206,113104
207,118768
208,123863
209,128714
210,132597
211,136294
212,141311
213,147449
214,151349
215,76921
216,63106
217,64715
218,66983
219,68937
220,70485
221,71586
222,73634
223,76067
224,78358
225,79897
226,82232
227,85127
228,88615
229,90890
230,93459
231,95723
232,98662
233,102684
234,106679
235,109494
236,112225
237,117698
238,122756
239,126788
240,131374
241,116347
242,57556
243,60627
244,61614
245,63398
246,64840
247,66582
248,69144
249,71064
250,72378
251,73881
252,76378
253,78927
254,81540
255,83233
256,85178
257,89116
258,92361
259,95160
260,97036
261,100338
262,104105
263,108332
264,112316
265,114322
266,117271
267,123826
268,128531
269,101194
270,59390
271,59101
272,48058
273,56964
274,61494
275,62667
276,64309
277,65376
278,66930
279,68437
280,69590
281,70094
282,73691
283,76234
284,80114
285,82933
286,84364
287,88065
288,91864
289,94574
