secs_elapsed,interval_qps
1,46579
2,49507
3,50030
4,50594
5,51714
6,53225
7,54294
8,55449
9,56297
10,57320
11,59525
12,60374
13,61911
14,62978
15,64643
16,66800
17,68567
18,70245
19,70791
20,73764
21,76704
22,78038
23,81101
24,82665
25,85545
26,88617
27,91325
28,94943
29,95718
30,99103
31,105039
32,106497
33,110207
34,113385
35,60262
36,57695
37,58548
38,59568
39,60773
40,62142
41,64404
42,66117
43,67367
44,68468
45,70677
46,73342
47,74994
48,76281
49,78339
50,81260
51,84199
52,86944
53,88576
54,91339
55,94308
56,99427
57,102782
58,104440
59,107137
60,111620
61,117854
62,120761
63,123518
64,77390
65,57449
66,58686
67,83276
68,85956
69,87090
70,89814
71,93543
72,97649
73,98939
74,101736
75,105571
76,109875
77,114122
78,116885
79,120282
80,126138
81,130435
82,135900
83,139668
84,144096
85,151811
86,154687
87,67931
88,65691
89,66643
90,68402
91,70944
92,73331
93,74414
94,76128
95,78644
96,81156
97,83165
98,85487
99,87952
100,90953
101,94318
102,97262
103,100439
104,102883
105,106979
106,111076
107,115254
108,118152
109,121820
110,127556
111,131310
112,134888
113,60937
114,62275
115,63377
116,66418
117,67303
118,69014
119,69854
120,72315
121,74895
122,76733
123,77922
124,79823
125,82935
126,86186
128,88453
129,90339
130,93835
131,96764
132,101336
133,103943
134,106422
135,108535
136,115539
137,118292
138,124362
139,125922
140,129371
141,75118
142,61723
143,62982
144,64096
145,65390
146,67594
147,69255
148,71854
149,72737
150,74224
151,77745
152,79863
153,82099
154,83027
155,86338
156,90158
157,92281
158,96442
159,96985
160,102251
161,105398
162,109277
163,112381
164,115487
165,119532
166,124719
167,130428
168,102465
169,60474
170,61692
171,63122
172,65316
173,67111
174,67204
175,69119
176,71894
177,75414
178,76145
179,77862
180,79700
181,82590
182,85416
183,88090
184,90059
185,93168
186,96464
187,100023
188,103503
189,106028
190,109725
191,114272
192,120541
193,124797
194,127344
195,129063
196,65893
197,61669
198,63021
199,64043
200,65304
201,67766
202,69328
203,72128
204,71838
205,74961
206,77231
207,79258
208,81346
209,83296
210,86039
211,89229
212,92617
213,95636
214,97134
215,101812
216,105137
217,108126
218,112914
219,115021
220,118995
221,124709
222,129950
223,105423
224,60041
225,61764
226,63969
227,65087
228,66665
229,67597
230,69222
231,72102
232,74550
233,76163
234,77881
235,79727
236,83573
237,85832
238,88103
239,87406
240,90321
241,95316
242,100272
243,103035
244,105583
245,108855
246,114630
247,118250
248,121846
249,126535
250,128489
251,68258
252,58995
253,63165
254,82483
255,85098
256,88764
257,92479
258,93915
259,97242
260,99699
261,103918
262,107604
263,110525
264,113823
265,117505
266,123043
267,127673
268,131773
269,136450
270,140863
271,146896
272,154560
273,135219
274,63940
275,65423
276,67214
277,69479
278,70347
279,71805
280,74685
281,76811
282,79414
283,82220
284,83127
285,85336
286,89525
287,92426
288,94422
289,96785
290,100417
291,104707
292,108053
293,111383
294,115067
295,118755
296,123953
297,129081
298,132096
299,124677
300,61250
301,62870
302,64605
303,66578
304,67705
305,69962
306,71485
307,73525
308,74843
309,76227
310,78964
311,82093
312,84310
313,86387
314,90278
315,93230
316,95572
317,99498
318,101497
319,103955
320,108279
321,112817
322,116842
323,120597
324,123711
325,130965
326,121068
327,60908
328,61703
329,62255
330,63549
331,66533
332,68542
333,69743
334,71124
335,74406
336,76296
337,78467
338,81014
339,81592
