secs_elapsed,interval_qps
1,127883
2,111900
3,138868
4,119943
5,104679
6,110529
7,110887
8,105120
9,108484
10,93817
11,117113
12,104305
13,111615
14,102618
15,105405
16,125367
17,133070
18,20741
19,0
20,57302
21,132422
22,54345
23,0
24,0
25,17191
26,125126
27,101701
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,12733
36,132447
37,98839
38,0
39,0
40,0
41,0
42,61839
43,130168
44,52012
45,120089
46,104467
48,102714
49,104294
50,118656
51,104514
52,120562
53,99949
54,115621
55,113228
56,109725
57,129764
58,95792
59,100346
60,88165
61,71201
62,77510
63,67443
64,100885
65,100591
66,98357
67,115180
68,98803
69,119092
70,130525
71,76981
72,0
73,0
74,0
75,0
76,79081
77,136406
78,28531
79,0
80,0
81,0
82,87609
84,156460
85,0
86,0
87,0
88,14387
89,124831
90,104751
91,0
92,0
93,0
94,0
95,94939
96,136113
97,13016
98,36229
99,96236
100,110806
101,103356
102,100563
103,112291
104,97255
105,113383
106,96651
107,111267
108,114531
109,98643
110,105842
111,91999
112,103798
113,98471
114,101650
115,99333
116,86970
117,112862
118,120481
119,112935
120,126664
121,88171
122,0
123,0
124,9856
125,124366
126,109797
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,4956
135,125892
136,113220
137,0
138,0
139,87171
140,135115
141,21732
142,101393
143,136169
144,113843
145,136681
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,127056
156,116963
157,0
158,0
159,0
160,0
161,126293
162,117726
163,0
164,0
165,111641
166,132378
167,0
168,75215
169,111761
170,115767
171,98440
172,115109
173,98865
174,107965
175,103670
176,101358
177,117060
178,75313
179,99721
180,89624
181,73404
182,106161
183,87259
184,97437
185,109417
186,88423
187,94983
188,100407
189,106055
190,104216
192,98742
193,117348
194,128764
195,61974
196,6722
197,128944
198,108402
199,0
200,0
201,0
202,82461
203,128351
204,33207
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,12788
214,128412
215,102818
216,0
217,0
218,122003
219,122066
220,79571
221,85160
222,113074
223,109269
224,114656
225,105224
226,109171
227,110925
228,105831
229,115665
230,99178
231,119192
232,133354
233,120791
234,95764
235,115394
236,102160
237,110706
238,105448
239,103718
240,116833
241,104576
242,122407
243,97351
244,113818
245,131969
246,87216
247,0
248,118131
249,125937
250,0
251,0
252,0
253,10957
254,127314
255,105748
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,57642
265,131689
266,54687
267,0
268,0
269,123915
270,120153
271,0
272,100079
273,137890
274,6000
275,0
276,0
277,90000
278,135778
279,18241
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,10660
288,128776
289,104682
290,0
291,0
292,69742
293,135026
294,39250
295,32401
296,128018
297,114221
298,105451
299,112738
300,107313
301,111612
302,112934
303,105242
304,112360
305,96678
306,116922
307,133196
308,119843
309,98120
311,114644
312,104605
313,110103
314,106788
315,100923
316,118180
317,65849
318,72972
319,57172
320,70404
321,97652
322,119613
323,133321
