secs_elapsed,interval_qps
1,153270
2,151081
3,107647
4,85963
5,77073
6,64770
7,63456
8,62919
9,52378
10,49665
11,49267
12,50367
13,52901
14,68226
15,63866
16,64001
17,61824
18,60782
19,50983
20,51364
21,50692
22,42548
23,41839
24,40988
25,42464
26,42043
27,40753
28,40910
29,58774
30,58859
31,58373
32,55198
33,47921
34,47462
35,48831
36,47809
37,44530
38,39501
39,39329
40,39043
41,39359
42,38733
43,43828
44,51060
45,53206
46,54168
47,55234
48,51595
49,45175
50,45534
51,46154
52,46738
53,41436
54,38653
55,39476
56,39708
57,38974
58,38862
59,47281
60,51731
61,51960
62,52939
63,50838
64,50136
65,44238
66,44875
67,43772
68,44643
69,44144
70,44429
71,43847
72,43679
73,44061
74,43936
75,43886
76,47531
77,43157
78,40765
79,42966
80,32409
81,37298
82,35977
83,32718
84,29108
85,28520
86,29400
88,28284
89,28478
90,27079
91,36435
92,35824
93,36268
94,36960
95,37056
96,36565
97,36790
98,36717
99,35590
100,36168
101,36451
102,35503
103,35966
104,35684
105,30367
106,31662
107,31392
108,31915
109,30362
110,28028
111,26315
112,25710
113,25503
114,25794
115,25437
116,25495
117,25270
118,25462
119,25681
120,25936
121,25869
122,25995
123,25445
124,25586
125,25503
126,25225
127,25349
128,25322
129,23043
130,23434
131,23450
132,23483
133,22997
134,23144
135,23238
136,29713
137,36088
138,35502
139,35087
140,32417
141,32012
142,32291
143,32026
144,31856
145,32703
146,31977
147,32363
148,32475
149,31920
150,32188
151,32098
152,31723
153,31662
154,31197
155,28476
156,29038
157,29085
158,28621
159,28861
160,28780
161,28276
162,25584
163,24069
164,22941
165,23286
166,22930
167,23822
168,22846
169,23021
170,22982
171,23074
172,23060
173,23637
174,23517
175,23375
176,23528
177,22922
178,23249
179,23494
180,23435
181,23324
182,21355
183,21527
184,21585
185,21307
186,21036
187,21546
188,21458
189,19468
190,19369
191,25941
192,35484
193,35708
194,35004
195,31605
196,31866
197,31920
198,32158
199,31782
200,31621
201,22230
202,32192
203,31964
204,31139
205,32021
206,32167
207,31570
208,31505
209,30820
210,28622
211,28204
212,28387
213,28260
214,28059
215,28297
216,25218
217,25207
218,24781
219,23163
220,23066
221,23262
222,23066
223,23200
224,22659
225,23407
226,23547
227,23016
228,23042
229,23483
230,23579
231,23592
232,22817
233,22938
234,23175
235,23371
236,22515
237,21216
238,21326
239,21593
240,21012
241,20763
242,19865
243,19220
244,19282
245,19186
246,19141
247,19492
248,19325
249,19337
250,19352
251,19307
252,19442
253,19633
254,19475
255,19635
256,18728
257,18484
258,18440
259,18309
260,23641
261,36364
262,36263
263,35571
264,35364
265,36001
266,35120
267,33330
268,30784
269,30799
270,29724
271,28266
272,27845
273,28355
274,27710
275,27999
276,28017
277,28158
278,28561
279,28566
280,28169
281,28639
282,28588
283,28098
284,28329
285,27643
286,28021
287,26162
288,25675
289,25469
290,25422
291,25569
292,25626
293,24688
294,24908
295,23294
296,23024
297,21674
299,21179
300,21444
301,21206
302,21016
303,20979
304,20933
305,20957
306,21578
307,21565
308,21429
309,21104
310,21292
311,21292
312,21161
313,21059
314,20736
315,21163
316,20450
317,19543
318,19524
319,19785
320,19130
321,19620
322,19496
323,17983
324,18036
325,17970
326,17861
327,18026
328,17682
329,17795
330,17843
331,17754
332,18005
333,18383
334,18194
335,18122
336,18078
337,18000
338,17876
339,17956
340,17994
341,17618
342,16945
343,17007
344,16731
345,17095
346,16916
347,17088
348,29819
349,35085
350,31159
351,30982
352,31331
353,31222
354,30895
355,31095
356,30231
357,27980
358,28202
359,29588
360,26846
361,28346
362,27755
363,27972
364,28257
365,28070
366,27580
367,28095
368,27389
369,27632
370,27531
371,26864
372,27417
373,24908
374,25261
375,25112
376,23534
377,22550
378,22915
379,22995
380,23192
381,22722
382,22767
383,22301
384,22127
385,21562
386,21209
387,21309
388,21397
389,20911
390,21376
391,21069
392,21228
393,21284
394,20836
395,21184
396,21175
397,21253
398,20903
399,21122
400,21151
401,20390
402,19489
403,18994
404,18998
