secs_elapsed,interval_qps
1,2098
2,375
3,3051
4,2974
5,1303
6,6027
7,4373
8,9917
9,13211
10,13466
11,13016
12,13531
13,13423
14,13409
15,13709
16,13521
17,13559
18,14033
19,14004
20,13981
21,14165
22,14088
23,14098
24,14292
25,14399
26,14253
27,14576
28,14682
29,14741
30,14434
31,14637
32,14965
33,15053
34,14623
35,14878
36,14712
37,15025
38,14877
39,14951
40,14908
41,14691
42,14894
43,14601
44,14705
45,14671
46,14586
47,14825
48,14479
49,14643
50,14562
52,14616
53,14797
54,14570
55,14808
56,14545
57,14430
58,14585
59,14413
60,14662
61,14440
62,14408
63,14262
64,14636
65,14611
66,14176
67,14436
68,14518
69,14593
70,14484
71,14312
72,14589
73,14288
74,14243
75,14295
76,14354
77,14170
78,14147
79,14353
80,14248
81,14173
82,14120
83,14436
84,14323
85,14312
86,14263
87,14190
88,14290
89,14059
90,14111
91,14065
92,13677
93,14195
94,13996
95,14158
96,13949
97,13752
98,14249
99,13995
100,13985
101,13872
102,14020
103,13840
104,13752
105,13958
106,13709
107,13673
108,13846
109,13880
110,13849
111,13732
112,13912
113,13679
114,13467
115,13811
116,13707
117,13785
118,13800
119,13780
120,13616
121,13557
122,13995
123,13624
124,13705
125,13756
126,13624
127,13363
128,13544
129,13654
130,13703
131,13550
132,13092
133,13573
134,13514
135,13587
136,13499
137,13525
138,13566
139,13496
140,13515
141,13665
142,13539
143,13254
144,13521
146,13675
147,13157
148,13378
149,13618
150,13675
151,13302
152,13656
153,13323
154,13350
155,13496
156,13094
157,13482
158,13435
159,13378
160,13377
161,13574
162,13282
163,13059
164,13592
165,13577
166,13339
167,13402
168,13425
169,13326
170,13659
171,13286
172,13442
173,13248
174,13317
175,13268
176,13558
177,13307
178,13373
179,13368
180,13422
181,13091
182,13231
183,13233
184,5662
185,11214
186,11792
187,11741
188,12037
189,12151
190,12116
191,12062
192,11955
193,12323
194,12305
195,12209
196,11914
197,12100
198,12280
199,12220
200,12060
201,12081
202,11941
203,12025
204,12043
205,12198
206,11981
207,12045
208,12041
209,12011
210,11924
211,11995
212,12136
213,12187
214,11924
215,12014
216,11917
217,12150
218,12166
219,12063
220,12066
221,11829
222,11932
223,12069
224,11937
225,12027
226,11892
227,12023
228,11998
229,12205
230,11771
231,12018
232,11938
233,12093
234,11996
235,11879
236,12042
238,12017
239,11948
240,12110
241,11819
242,11774
243,11985
244,12024
245,11825
246,6887
247,11524
248,7807
249,11960
250,12015
251,11988
252,11799
253,11953
254,11926
255,11780
256,11708
257,12090
258,11899
259,12038
260,11803
261,11740
262,11713
263,11898
264,11837
265,11876
266,11812
267,11834
268,11813
269,11869
270,11845
271,11843
272,11727
273,11789
274,11844
275,11924
276,11621
277,11652
278,11497
279,11932
280,11895
281,11699
282,11812
283,11683
284,11921
285,11909
286,11696
287,11848
288,11848
289,11887
290,11978
291,11814
292,11766
293,11725
294,11809
295,11852
296,11685
297,11697
298,11961
299,11706
300,11621
301,11819
