secs_elapsed,interval_qps
1,283925
2,337210
3,328909
4,322372
5,317692
6,322395
7,315464
8,306664
9,286362
10,122884
11,73995
12,72545
13,73212
14,73096
15,72228
16,73691
17,73279
18,72702
19,72367
20,73683
21,73532
22,73367
23,72430
24,73059
25,73241
26,72613
27,72223
28,72436
29,72161
30,71969
31,72256
32,72192
33,71908
34,71614
35,73191
36,73078
37,70817
38,54939
39,48429
40,48658
41,47898
42,47593
43,47843
44,47967
45,48381
46,47938
47,47445
48,47731
49,47968
50,47938
51,47687
52,47834
53,47558
54,47255
56,48335
57,48095
58,47641
59,47336
60,47790
61,48140
62,48133
63,47313
64,47245
65,47908
66,47868
67,47897
68,46950
69,47345
70,47928
71,47428
72,47366
73,47169
74,47378
75,47738
76,47714
77,47314
78,47549
79,47425
80,47345
81,47782
82,47987
83,46729
84,47270
85,47786
86,47618
87,47255
88,46711
89,46080
90,36306
91,33586
92,34104
93,32978
94,73220
95,78053
96,78750
97,78301
98,77576
99,76658
100,77383
101,77880
102,76767
103,75750
104,76847
105,77649
106,76756
107,77646
108,76352
109,76836
110,77296
111,76502
112,76114
113,75256
114,75803
115,76013
116,76722
117,76733
118,76042
119,76166
120,76735
121,76908
122,75883
123,75132
124,60972
125,48670
126,48927
127,47946
128,47630
129,47776
130,48795
131,48139
132,48275
133,48061
134,48131
135,48406
136,48466
137,47964
138,47676
139,48006
140,47726
141,48131
142,47946
143,47801
144,48010
145,48468
146,48612
147,47985
148,47732
149,47380
150,47687
151,48297
153,47806
154,46941
155,47382
156,47632
157,46927
158,47092
159,47637
160,47988
161,47718
162,48433
163,47771
164,46798
165,47898
166,48110
167,47465
168,47019
169,47308
170,48061
171,48164
172,48126
173,47602
174,47456
175,47171
176,36136
177,35884
178,35273
179,35683
180,35952
181,36188
182,36147
183,35532
184,35231
185,35989
186,36023
187,36067
188,35397
189,35563
190,35998
191,36007
192,35879
193,35128
194,35398
195,35925
196,35897
197,35764
198,35346
199,35193
200,35509
201,35844
202,35777
203,34882
204,35417
205,35437
206,35491
207,35382
208,35448
209,35441
210,35388
211,35911
212,35740
213,34913
214,34945
215,35781
216,35902
217,35599
218,34787
219,34929
220,35652
221,35252
222,35156
223,35036
224,35364
225,35697
226,35211
227,35573
228,35131
229,34914
230,35604
231,35637
232,35087
233,34870
234,35194
235,35538
236,35681
237,35281
238,35040
239,35350
240,35549
241,35546
242,35320
243,34517
244,31373
245,27687
246,26912
247,27227
248,26636
249,27146
250,40157
252,65412
253,64572
254,64282
255,64834
256,65070
257,65239
258,64393
259,63822
260,64513
261,64661
262,64679
263,64205
264,63960
265,64162
266,63695
267,63852
268,63747
269,63428
270,63865
271,64238
272,64316
273,63510
274,62830
275,64037
276,64246
277,64480
278,62415
279,63230
280,64219
281,63245
282,64056
283,62628
284,62572
285,63287
286,63534
287,52420
288,42566
289,42412
290,42473
291,42818
292,42583
293,42349
294,42296
295,42256
296,42730
297,42665
298,42265
299,42176
300,42664
301,42581
302,41961
303,41491
304,42039
305,42546
306,42661
307,42566
308,41998
309,41488
310,42023
311,42407
312,42446
313,41368
314,42111
315,42487
316,42363
317,42197
318,41307
319,41493
320,42394
321,42117
322,42223
323,41367
324,42100
325,42157
326,42192
327,41988
328,41597
329,42092
330,42253
331,41982
332,41652
