secs_elapsed,interval_qps
1,15445
2,15848
3,16158
4,16106
5,16022
6,16324
7,16268
8,16133
9,16215
10,16297
11,16708
12,16543
13,16603
14,16526
15,16764
16,16994
17,16723
18,16917
19,16824
20,17300
21,17206
22,17222
23,17429
24,17213
25,17234
26,17458
27,17370
28,17696
29,17543
30,17781
31,17780
32,18044
33,17782
34,17872
35,18024
36,18082
37,18136
38,18263
39,18088
40,18183
41,18553
42,18626
43,18565
44,18442
45,18665
46,18924
47,19099
48,18822
49,18735
50,18846
51,19027
52,19034
53,18856
54,18601
55,19206
56,19215
57,19233
58,19122
60,5914
61,18419
62,19149
63,19060
64,18849
65,18827
66,18636
67,19491
68,9960
69,14715
70,17947
71,19267
72,17362
73,16257
74,19075
75,19567
76,18341
77,19072
78,18946
79,18839
80,18866
81,19266
82,20043
83,18675
84,19114
85,18262
86,20038
87,19168
88,18900
89,18950
90,19990
91,18667
92,18943
93,19865
94,20119
95,19075
96,19727
97,19923
98,20046
99,19761
100,19834
101,19955
102,19871
103,20110
104,19293
105,20596
106,20288
107,19941
108,20253
109,20447
110,19526
111,20599
112,20389
113,21052
114,20158
115,20241
116,20203
117,21112
118,19794
119,19594
120,20404
121,21258
122,20151
123,20003
124,20513
125,20831
126,20595
127,20772
128,20787
129,19910
130,20598
131,20201
132,21347
133,20844
134,2519
135,1553
136,1509
137,1526
138,16715
139,17283
140,17235
141,16757
142,16889
143,16960
144,17130
145,16623
146,16942
147,17271
148,17405
149,17095
150,16809
151,17182
152,17568
153,17013
154,16896
155,17635
156,17168
157,17315
158,17464
159,17713
160,17182
161,17577
162,17385
163,17678
164,16746
165,17297
166,17274
167,18102
168,16784
169,17234
170,17510
171,18021
172,17180
173,17511
174,17290
176,18074
177,16936
178,17713
179,17603
180,17833
181,17657
182,17412
183,18009
184,17747
185,17112
186,17271
187,18138
188,17889
189,16859
190,17443
191,18235
192,17740
193,18175
194,16986
195,18032
196,17653
197,17784
198,17235
199,17967
200,17376
201,17570
202,17149
203,17879
204,17408
205,17489
206,17729
207,17912
208,17712
209,17312
210,17759
211,17272
212,17152
213,17724
214,17882
215,17479
216,17071
217,17746
218,17990
219,17428
220,16716
221,17490
222,17824
223,17420
224,16858
225,17325
226,17876
227,17448
228,17353
229,16750
230,17687
231,17248
232,17177
233,17289
234,17642
235,16578
236,17330
237,17358
238,17611
239,16881
240,16604
241,17584
242,17306
243,17136
244,16325
245,17466
246,17015
247,17022
248,17041
249,17497
250,16536
251,17057
252,17293
253,17426
254,16843
255,16279
256,16910
257,17269
258,16879
259,16247
260,16855
261,17389
262,16926
263,16910
264,17166
265,16394
266,16956
267,16802
268,17239
269,16760
270,16208
271,16693
272,17406
273,16683
274,16529
275,16281
276,17278
277,16719
278,16340
279,15075
280,1245
281,848
282,1175
283,4642
284,1293
286,5028
287,7504
288,9434
289,7351
290,8029
291,6695
292,7690
293,4352
294,6831
295,20385
296,20125
297,20246
298,20109
299,20003
300,20350
301,20389
302,19813
303,20234
304,20173
305,20102
306,20372
307,20434
308,20417
309,19630
310,20071
311,20091
312,19967
313,20069
314,19918
315,20146
316,20090
317,20057
318,20091
319,19896
320,20097
321,20285
322,20269
323,20038
324,19890
325,19892
326,19894
327,19958
328,19758
329,19719
330,19409
331,19977
332,19831
333,19442
334,19597
335,19968
336,19718
337,19805
338,19818
339,19146
340,19025
341,19694
342,19675
343,19644
344,19254
345,19563
346,19806
347,19701
348,19570
349,19556
350,19488
351,19440
352,19467
353,19279
354,19230
355,19144
356,18674
357,19464
358,18641
359,18856
360,19428
361,18898
362,19295
363,18530
364,18585
365,18794
366,18636
367,18842
368,18798
369,18600
370,18898
371,18815
372,19204
373,18390
374,18621
375,18501
376,18838
377,18688
378,18903
379,18934
380,18900
381,18869
382,18689
384,18609
385,18769
386,18631
387,18418
388,19062
389,18322
390,18072
391,18774
392,18822
393,18725
394,18256
395,18618
396,18979
397,18745
398,18369
399,18705
400,18336
401,18586
402,18869
403,18995
404,19103
405,19439
406,19763
407,19249
408,20025
409,19621
410,20251
411,20464
412,20272
413,20278
414,20230
415,20791
416,20684
417,18608
418,9056
419,18451
420,18612
421,18772
422,18871
423,19111
424,19006
425,19164
426,19041
427,19412
428,19159
429,19382
430,19479
431,19925
432,19653
433,19837
434,19882
435,19853
436,20273
437,20144
438,19869
439,20205
440,20162
441,20610
442,20408
443,20500
444,20379
445,20422
446,20925
447,20758
448,20861
449,21027
450,20992
451,21225
452,21408
453,21450
454,21257
455,21482
456,21611
457,21829
458,22068
459,21480
460,21976
461,21950
462,22282
463,22304
464,22072
465,22390
466,22335
467,22649
468,22370
469,22574
470,22393
471,22589
472,22693
473,22349
474,21977
475,22459
476,22497
477,22342
478,22210
479,22249
480,22471
481,22340
482,22508
483,22395
484,22106
485,22370
487,22364
488,22491
489,22192
490,21910
491,22229
492,22465
493,22284
494,22209
495,21658
496,22158
497,22246
498,22168
499,21828
500,21789
501,22241
502,21972
503,21838
504,21934
505,21748
506,21663
507,21917
508,21795
509,21730
510,21504
511,21906
512,21761
513,21782
514,21501
515,21373
516,21832
517,21855
518,21660
519,21308
520,21715
521,21719
522,21932
523,21838
524,21481
525,21792
526,21502
527,21756
528,21695
529,21395
530,21366
531,21734
532,21534
533,16329
534,3
535,125
536,343
537,734
538,573
539,14630
540,17027
541,16722
542,16275
543,16334
544,16896
545,16631
546,16698
547,16982
548,17401
549,16882
550,17077
551,17739
552,17242
553,17064
554,17042
555,17447
556,17070
557,17425
558,17336
559,17919
560,17775
561,17517
562,17549
563,18085
564,17374
565,16963
566,17456
567,18088
568,17478
569,16965
570,17564
571,18143
572,17783
573,16983
574,17875
575,17496
576,17662
577,17331
578,17961
579,17251
580,17607
581,17687
582,18083
583,17148
584,16995
585,17494
586,18066
587,16994
588,17709
589,17338
590,18213
591,17302
592,17592
593,17291
594,17590
596,17076
597,17710
598,17582
599,17779
600,16971
601,17496
602,18308
603,17541
604,16747
605,17275
606,18154
607,17687
608,16938
609,17191
610,18115
611,16850
612,17310
613,17453
614,17916
615,16702
616,17364
617,17643
618,18147
619,16941
620,17406
621,17455
622,17546
623,16884
624,17228
625,17176
626,18100
627,16948
628,17162
629,17676
630,16623
631,17070
632,16724
633,17647
634,17083
635,16347
636,17171
637,17598
638,17146
639,15586
640,16567
641,17040
642,16892
643,16203
644,16793
645,17153
646,16754
647,16765
648,16255
649,16495
650,16407
651,16623
652,15962
653,16583
654,16388
655,16484
656,16748
657,16497
658,16061
659,15408
660,17020
661,16627
662,16787
663,15720
664,16428
665,16184
666,16566
667,16592
668,16797
669,15469
670,16760
671,16374
672,16973
673,15584
674,15901
675,16629
676,17129
677,16455
678,15989
679,15888
680,16485
681,16107
682,15540
683,399
684,426
685,527
686,2383
687,14562
688,13897
689,13749
691,14273
692,14802
693,14384
694,14292
695,14208
696,14803
697,14531
698,14608
699,14385
700,15042
701,14547
702,14702
703,14340
704,15127
705,14622
706,14672
707,15045
708,15153
709,14725
710,14526
711,14677
712,15111
713,14764
714,14660
715,14626
716,15310
717,14782
718,14772
719,14460
720,14867
721,14724
722,14861
723,15181
724,14478
725,14361
726,14685
727,15019
728,14821
729,14482
730,14669
731,15071
732,14317
733,15003
734,14886
735,14489
736,14599
737,14765
738,13981
739,14941
740,14461
741,14550
742,14492
743,15141
744,14432
745,14523
746,15001
747,14588
748,14547
749,13989
750,14821
751,14511
752,14383
753,14464
754,14786
755,14469
756,14375
757,14534
758,14597
759,14126
760,14212
761,14535
762,14746
763,14357
764,14314
765,14072
766,14509
767,14559
768,14425
769,14529
770,14868
771,14653
772,14614
773,14834
774,14280
775,14320
776,14125
777,14846
778,14452
779,14259
780,13990
781,14674
782,14571
783,14148
784,14357
785,14689
786,14356
787,14293
788,14523
789,14643
790,14178
791,14415
792,14460
793,14143
795,14306
796,14160
797,14734
798,14334
799,14187
800,13841
801,14873
802,14475
803,14369
804,14123
805,14737
806,14159
807,15249
808,15376
809,15665
810,15461
811,15517
812,15645
813,15475
814,15221
815,15350
816,15522
817,15628
818,15618
819,15126
820,15560
821,15643
822,15482
823,15505
824,15398
825,15367
826,15509
827,15328
828,15745
829,15148
830,15111
831,15345
832,15467
833,15507
834,15243
835,15186
836,15678
837,15633
838,15516
839,15410
840,15283
841,15577
842,15348
843,15372
844,15325
845,15472
846,15443
847,15659
848,15545
849,15157
850,15339
851,15400
852,15298
853,10718
854,3405
855,13239
856,13431
857,13540
858,13454
859,13708
860,13579
861,13621
862,13891
863,13753
864,13872
865,13516
866,13571
867,14026
868,13873
869,13774
870,13937
871,14161
872,13928
873,14123
874,13974
875,14212
876,14185
877,14353
878,14199
879,13962
880,14232
881,14336
882,14225
883,14506
884,14261
885,14254
886,14213
887,14110
888,14359
889,14189
890,14311
891,14368
