secs_elapsed,interval_qps
1,136440
2,158918
3,153273
4,85345
5,69839
6,67267
7,66423
8,65180
9,24730
10,51064
11,51298
12,51748
13,66007
14,66707
15,65102
16,65957
17,64014
18,53572
19,53257
20,51503
21,47321
22,43391
23,43313
24,42840
25,43703
26,43351
27,39774
28,36881
29,58964
30,61244
31,58808
32,51431
33,50172
34,49291
35,49027
36,48067
37,39724
38,40411
39,40139
40,39486
41,40707
42,39939
43,48352
44,53255
45,54936
46,56240
47,54506
48,45744
49,45023
50,47474
51,48027
52,45259
54,39852
55,38902
56,40344
57,40374
58,40605
59,38232
60,44244
61,52663
62,55218
63,53818
64,51537
65,44622
66,46098
67,45603
68,46489
69,45543
70,40184
71,39697
72,39282
73,39086
74,38267
75,37802
76,39649
77,53408
78,52248
79,51416
80,51186
81,49427
82,45220
83,45569
84,45110
85,44881
86,45730
87,45751
88,44761
89,44975
90,44515
91,0
92,0
93,0
94,0
95,0
96,24568
97,39459
98,38958
99,38271
100,38465
101,37710
102,26638
103,14547
104,31164
105,29008
106,30127
107,30301
108,29425
109,36637
110,42910
111,42907
112,43746
113,43715
114,38661
115,38454
116,38083
117,37829
118,34780
119,36915
120,37370
121,36726
122,37022
123,21779
124,0
125,0
126,0
127,4312
128,32718
129,31815
130,27105
131,28749
132,29614
133,28586
134,29204
135,29123
136,29524
137,30068
138,29010
139,29288
140,29121
141,27325
142,27063
143,26262
144,26034
145,26479
146,26719
147,26628
148,25407
149,26446
150,26494
151,24880
152,25255
153,24592
154,23429
155,21679
156,25900
157,36950
158,36772
159,36548
160,36462
161,37051
162,37504
163,36831
165,40765
166,37201
167,34590
168,33346
169,32143
170,26760
171,33082
172,28876
173,33028
174,32379
175,32393
176,31932
177,10767
178,0
179,0
180,0
181,0
182,0
183,0
184,7939
185,28617
186,25944
187,26328
188,26270
189,26462
190,25944
191,26540
192,26884
193,26910
194,26589
195,26042
196,20918
197,26910
198,26956
199,26182
200,21805
201,19495
202,26844
203,18507
204,0
205,0
206,0
207,0
208,2921
209,23510
210,23978
211,23895
212,24246
213,23590
214,21683
215,21390
216,21752
217,21298
218,21649
219,25784
220,40208
221,37098
222,36932
223,34904
224,37664
225,37017
226,36478
227,29578
228,36844
229,36080
230,36578
231,26693
232,36695
233,13639
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,15987
249,30843
250,21228
251,28695
252,29172
253,29576
254,28947
255,29974
256,25196
257,29897
258,29511
259,29606
260,20994
261,29525
262,29083
263,29248
264,28995
265,21609
266,0
267,0
268,0
269,0
270,9347
271,26908
272,23445
273,26714
274,25639
275,25805
276,22599
277,23580
278,23859
279,23626
280,23532
281,22583
282,21903
283,21865
284,21978
285,22387
286,22206
287,22474
288,22357
289,21610
290,19616
291,22311
292,22092
293,21981
294,21716
295,21227
296,22155
297,22018
298,21798
299,21440
300,21401
301,21414
302,19126
303,20331
304,19952
305,19583
306,18738
307,18513
308,18487
309,18307
310,19110
311,19121
312,18628
313,34254
314,35745
315,37158
316,30906
317,36551
318,36392
319,29666
320,29090
321,26947
322,0
323,0
324,0
325,0
326,0
328,0
329,0
330,0
331,0
333,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,16952
376,32281
377,32248
378,32245
379,31258
380,31702
381,32351
382,31619
383,3362
384,0
385,0
386,0
388,0
389,6633
390,28018
391,10970
392,24811
393,25903
394,25488
395,25928
396,26606
397,26624
398,26209
399,25422
400,25848
401,26314
402,26084
403,26104
404,25221
405,25134
406,26099
407,25930
408,24264
409,22759
410,23377
411,23720
412,23693
413,22962
414,21179
