secs_elapsed,interval_qps
1,131584
2,161502
3,154195
4,40808
5,0
6,0
7,672
8,80527
9,82137
10,80733
11,0
12,10261
13,65339
14,61567
15,55164
16,54415
17,52186
18,46896
19,44278
20,44437
21,43451
22,43653
23,39675
24,37515
25,36658
26,37457
27,37731
28,36490
29,33851
30,33145
31,33398
32,32915
33,30149
34,32789
35,32953
36,31323
37,28632
38,29128
39,27890
40,28348
41,28909
42,29262
43,28797
44,28529
45,25620
46,25277
47,24905
48,25219
50,24781
51,24893
52,24816
53,25220
54,24651
55,24791
56,53992
57,67647
58,66328
59,64590
60,54491
61,52787
62,52662
63,53195
64,49180
65,44101
66,43359
67,43571
68,44028
69,41609
70,41056
71,37476
72,37852
73,38004
74,37201
75,37348
76,34347
77,33316
78,33135
79,32628
80,31941
81,32097
82,32514
83,31655
84,28341
85,29059
86,29249
87,29064
88,29315
89,28667
90,28298
91,28656
92,26367
93,24964
94,25045
95,24407
96,24391
97,25031
98,24694
99,24305
100,36618
101,61438
102,54209
103,53580
104,52054
105,52377
106,44702
107,43470
108,43772
109,42094
110,41923
111,40528
112,38042
113,36326
114,37035
115,37225
116,37377
117,36661
118,32914
119,32715
120,32597
121,32617
122,32458
123,32632
124,31862
125,30628
126,29115
127,28807
128,28816
129,28751
130,29020
131,29199
132,28724
133,27981
134,24439
135,24775
136,25222
137,24944
138,25079
139,24660
140,25119
141,46319
142,48679
143,44057
145,44128
146,43679
147,43559
148,42956
149,37799
150,35895
151,36190
152,37323
153,37008
154,37151
155,34525
156,32679
157,32521
158,32566
159,32146
160,32564
161,31904
162,32242
163,29844
164,28481
165,28090
166,28949
167,28812
168,29065
169,28628
170,28279
171,27328
172,25440
173,25209
174,24957
175,24865
176,25480
177,25164
178,25258
179,24605
180,24801
181,24319
182,23364
183,22810
184,22748
185,22861
186,22911
187,22993
188,22948
189,22837
190,22131
191,22309
192,20781
193,20921
194,20672
195,20779
196,20832
197,20898
198,20503
199,20573
200,20690
201,20630
202,23722
203,46878
204,42857
205,43453
206,43651
207,43873
208,42624
209,37474
210,37665
211,37620
212,35394
213,37086
214,36704
215,34319
216,32879
217,33085
218,32419
219,31566
220,32083
221,32172
222,31661
223,28827
224,28505
225,28489
226,28694
227,28805
228,28121
229,28391
230,28202
231,26537
232,24976
233,24774
234,24645
235,24939
236,24601
237,25209
