secs_elapsed,interval_qps
1,74052
2,90445
3,98317
4,96476
5,104022
6,100771
7,98700
8,103878
9,100664
10,105974
11,109122
12,110200
13,106485
14,111331
15,110401
16,106319
17,110168
18,101480
19,108313
20,102896
21,107105
22,102448
23,104377
24,106022
25,99581
26,102800
27,99829
28,112075
29,118575
30,116152
31,116075
32,112179
33,118735
34,117528
35,112720
36,107028
37,109836
38,104450
39,107722
40,106195
41,107828
42,102509
43,104615
44,104202
45,104709
46,120869
47,114037
48,115989
49,111246
50,114203
51,109878
52,110713
53,109679
54,110422
55,112376
56,107984
57,107481
59,105879
60,108435
61,102602
62,103936
63,107258
64,101287
65,120762
66,114877
67,118839
68,112673
69,116402
70,108949
71,112844
72,108431
73,110272
74,108437
75,107194
76,110102
77,104776
78,107643
79,102124
80,106516
81,104649
82,113441
83,120921
84,115900
85,119845
86,112402
87,113987
88,109759
89,116146
90,108241
91,111287
92,106629
93,109993
94,106466
95,106917
96,109938
97,100155
98,106104
99,101645
100,121919
101,115894
102,114133
103,115313
104,115344
105,112241
106,111137
107,110121
108,107919
109,112970
110,106105
111,112017
112,103657
113,107730
114,105001
115,106040
116,104840
117,107994
118,122552
119,114076
120,122313
121,112238
122,116077
123,108542
124,114068
125,107585
126,110303
127,107641
128,107643
129,111192
130,106652
131,108032
132,102369
133,103530
134,104031
135,118067
136,120457
137,116815
138,116729
139,113668
140,114001
141,110614
142,115622
143,107401
144,113571
145,107955
146,112579
147,106839
148,107743
149,105167
150,101932
151,107640
152,104765
153,121861
154,116283
155,119247
156,113699
157,113730
158,112439
159,113543
160,108422
161,108349
162,111195
163,110141
164,111407
165,103643
166,109801
168,103098
169,105615
170,102455
171,117408
172,117830
173,113561
174,117373
175,111285
176,118857
177,110227
178,110993
179,108737
180,112265
181,109684
182,109614
183,103949
184,106893
185,110180
186,101479
187,105342
188,103914
189,124786
190,116459
191,117289
192,113119
193,113566
194,114902
195,112487
196,112379
197,108564
198,113275
199,105719
200,111985
201,105371
202,109159
203,102722
204,103936
205,106790
206,104834
207,125224
208,116530
209,118902
210,112826
211,118793
212,107649
213,111686
214,109614
215,111755
216,109060
217,108120
218,108975
219,105737
220,109892
221,102534
222,103548
223,103679
224,117362
225,118947
226,119369
227,116010
228,113186
229,116272
230,111763
231,116530
232,108102
233,113352
234,105307
235,109543
236,108282
237,105328
238,106498
239,102497
240,105242
241,103009
242,120050
243,115209
244,120855
245,114337
246,114527
247,112031
248,113832
249,111483
250,109199
251,111556
252,104186
253,109656
254,105041
255,109328
256,105789
257,104519
258,100576
259,113005
260,121628
261,117649
262,121348
263,113232
264,117702
265,108607
266,112843
267,107059
268,111442
269,107516
270,107088
271,109451
272,104943
273,110571
274,101689
275,106523
276,99217
277,121704
278,119758
279,120509
280,117615
281,114447
282,111949
283,108935
284,112788
286,109908
287,113176
288,103264
289,108401
290,103993
291,107884
292,105139
293,101695
294,106380
295,105559
296,123687
297,114775
298,117813
299,111435
300,118827
301,111422
302,110799
303,108436
304,108734
305,111767
306,107023
307,108924
308,104396
309,109827
310,104019
311,105405
312,102137
313,112346
314,121670
315,116703
316,119480
317,111641
318,115268
319,109668
320,115044
321,108941
322,108730
323,108037
324,109835
325,107635
326,105545
327,109752
328,100940
329,103824
330,100150
331,121672
332,117925
333,116019
334,113906
335,116000
336,115648
337,109218
338,113529
339,108691
340,113024
341,104560
342,109590
343,114005
344,109040
345,104361
346,104403
347,104340
348,102448
349,125586
350,114066
351,118508
352,109485
353,114996
354,111551
355,113017
356,113987
357,109330
358,110689
359,107195
360,110355
361,105105
362,106054
363,101492
364,104100
365,106106
366,112090
367,118352
368,114356
369,117564
370,113030
371,115061
372,109137
373,112639
374,108910
375,113601
376,107769
377,109650
378,105638
379,108101
380,110379
381,101119
382,103238
383,99429
384,124749
385,120258
386,120748
387,115109
388,114445
389,113300
390,110785
391,111906
392,107989
393,111985
394,104997
395,112226
396,106975
397,107748
398,106094
