secs_elapsed,interval_qps
1,461
2,867
3,930
4,1185
5,1031
6,1277
7,1275
8,952
9,968
10,17
11,10
12,13
13,744
14,379
15,13
16,11
17,10
18,1072
19,22
20,32
21,17
22,537
23,646
24,73
25,14
26,12
27,712
28,273
29,6
30,19
31,647
32,528
33,91
34,1041
35,126
36,439
37,924
38,163
39,1294
40,101
41,1457
43,157
44,31
45,92
46,3
47,1102
48,14
49,53
50,28
51,417
52,929
53,18
54,25
55,65
56,838
57,582
58,13
59,89
60,519
61,696
62,82
63,1074
64,317
65,65
66,1341
67,30
68,358
69,1519
70,70
71,13
72,1623
73,58
74,627
75,918
76,16
77,131
78,15
79,1509
80,22
81,6
82,111
83,1
84,1594
85,93
86,70
87,21
88,319
89,1367
90,18
91,21
92,67
93,804
94,869
95,27
96,4
97,281
98,1245
99,83
100,1115
101,632
102,159
103,1988
104,38
105,60
106,1835
107,648
108,2741
109,3395
110,3052
111,3168
112,2774
113,2819
114,2601
115,2570
116,25
117,17
118,86
119,342
120,2012
121,16
122,2
123,90
125,1005
126,1263
127,45
128,79
129,10
130,2047
131,548
132,124
133,122
134,5
135,1137
136,1146
137,86
138,1666
139,717
140,28
141,1906
142,139
143,852
144,1697
145,154
146,1032
147,1528
148,2302
149,3392
150,2901
151,3924
152,3360
153,3018
154,3100
155,3886
156,593
157,3516
158,3786
159,3885
160,3343
161,3276
162,3876
163,3113
164,2746
165,131
166,113
167,32
168,1694
169,909
170,68
171,54
172,114
173,1563
174,874
175,12
176,14
177,144
178,1465
179,659
180,121
181,1687
182,515
183,96
184,2268
185,139
186,601
187,2119
188,280
189,2370
190,1112
191,102
192,2720
193,1545
194,4041
195,4129
196,3404
197,3050
198,4297
199,3243
200,4093
201,2301
202,3767
203,4108
204,3426
205,4497
206,4615
207,4773
208,4237
209,3677
210,72
211,105
212,19
213,16
214,1407
215,1196
216,341
217,19
218,9
219,1489
220,1198
221,24
222,156
223,73
224,2568
225,285
226,118
227,77
228,3547
229,456
230,133
231,1210
233,1275
234,113
235,1463
236,1706
237,230
238,3103
239,395
240,4173
241,59
242,30
243,249
244,2140
245,1231
246,89
247,2685
248,136
249,595
250,2901
251,198
252,2155
253,1457
254,248
255,3393
256,230
257,1825
258,1618
259,391
260,3024
261,390
262,1974
263,2557
264,3419
265,3628
266,4489
267,5156
268,5450
269,4774
270,4119
271,4194
272,1736
273,5298
274,5054
275,5320
276,4397
277,5090
278,5505
279,4916
280,3514
281,143
282,99
283,38
284,67
285,1862
286,1971
287,92
288,2218
289,2220
290,296
291,4749
292,701
293,642
294,3733
295,171
296,3272
297,1216
298,208
299,4789
300,487
301,3906
303,1680
304,2276
305,2444
306,5399
307,6603
308,6458
309,6099
310,6529
311,5202
312,5106
313,5479
314,4341
315,6371
316,5186
317,5627
318,5715
319,8457
320,5918
321,3481
322,208
323,2016
324,4077
325,337
326,4796
327,833
328,769
329,3996
330,384
331,3906
332,1920
333,425
334,4618
335,411
336,3441
337,2346
338,330
339,5003
340,791
341,5415
342,5709
343,6379
344,7502
345,6713
346,7018
347,6644
348,6765
349,5835
350,7405
351,6813
352,7788
353,7537
354,8485
355,7830
356,9174
357,641
358,193
359,5538
360,322
361,309
362,5801
363,598
364,602
365,4817
366,394
367,297
368,5713
369,186
370,91
372,221
373,5753
374,101
375,237
376,4996
377,289
378,373
379,5349
380,469
381,190
382,6316
383,166
384,247
385,0
386,0
387,0
388,0
389,93
390,812
391,6344
392,8247
