secs_elapsed,interval_qps
1,153400
2,158361
3,115650
4,85968
5,85554
6,62467
7,64256
8,61895
9,49930
10,50120
11,49872
12,51089
13,46784
14,68905
15,66995
16,66178
17,59779
18,52528
19,53229
20,52215
21,50710
22,44958
23,44018
24,44893
25,43269
26,43536
27,43826
28,42712
29,42284
30,39900
31,41782
32,15846
33,0
34,0
35,33279
36,36467
37,35864
38,36700
39,35495
40,35836
41,32057
42,30716
43,27985
44,35041
45,40813
46,40148
47,40412
48,38939
49,37212
50,35062
51,35405
53,35113
54,35527
55,35573
56,35141
57,34690
58,20934
59,34626
60,34101
61,34420
62,33905
63,34282
64,331
65,13896
66,30822
67,30348
68,13590
69,42185
70,38864
71,38372
72,39217
73,37057
74,35505
75,34117
76,33827
77,33269
78,33587
79,34031
80,34233
81,34219
82,33740
83,33426
84,34398
85,34040
86,35998
87,3364
88,0
89,0
90,39602
91,43753
92,42439
93,42958
94,42816
95,32501
96,24300
97,33597
98,32048
99,31940
100,32303
101,32791
102,31120
103,31611
104,31173
105,28887
106,29284
107,28813
108,29434
109,29205
110,28843
111,29360
112,28958
113,29007
114,28209
115,29000
116,29148
117,28552
118,28894
119,28626
120,17051
121,16394
122,24646
123,25567
124,23122
125,30694
126,35770
127,36600
128,36827
129,36503
130,33447
131,32177
132,32103
133,32734
134,33072
135,33098
136,32180
137,33076
138,32183
139,32756
140,32373
141,31676
142,31634
143,32203
144,11270
145,0
146,1098
147,28818
148,28711
149,28332
150,25703
151,26018
152,25641
153,25882
154,25994
155,25623
156,25525
157,23402
158,23021
159,24040
160,23900
162,23470
163,24036
164,23440
165,23266
166,23217
167,23057
168,23257
169,23466
170,23057
171,22971
172,22478
173,23303
174,23476
175,28133
176,36480
177,36365
178,31436
179,32290
180,32049
181,32398
182,32458
183,31619
184,32229
185,32477
186,32998
187,32572
188,32809
189,32157
190,29686
191,29216
192,28705
193,28648
194,29109
195,28608
196,28984
197,28632
198,26530
199,28299
200,25119
201,25606
202,24319
203,23318
204,23184
205,23354
206,23336
207,23315
208,23503
209,23322
210,22939
211,23126
212,24000
213,23922
214,23632
215,23275
216,21586
217,21697
218,21504
219,20898
220,21857
221,20923
222,21523
223,21806
224,21774
225,21611
226,21391
227,21271
228,21028
229,19605
230,19571
231,19623
232,24982
233,41422
234,38180
235,36832
236,36719
237,36980
238,37057
239,34649
240,36810
241,36590
242,36735
243,36393
244,33745
245,36109
246,25168
247,0
248,4347
249,32337
250,32188
251,31367
252,31727
253,31440
254,31856
255,28671
256,28395
257,27175
258,25922
259,26052
260,25642
261,25539
262,25492
264,25793
265,26425
266,26384
267,25694
268,26193
269,25693
270,25933
271,25810
272,25460
273,25406
274,24607
275,23403
276,23575
277,23946
278,23346
279,23415
280,23272
281,23412
282,22641
283,21003
284,21183
285,21241
286,20880
287,20988
288,20583
289,19643
290,19462
291,19430
292,19678
293,20159
294,20013
295,19914
296,20114
297,20182
298,19736
299,19804
300,19801
301,16356
302,19403
303,19779
304,19661
305,19883
306,18720
307,18579
308,18251
309,17966
310,18159
311,18208
312,31934
313,33353
314,31514
315,31702
316,31306
317,31656
318,31935
319,32538
320,30598
321,32070
322,31913
323,31700
324,31760
325,31229
326,30631
327,29119
328,13536
329,28531
330,22259
331,28444
332,28081
333,28472
334,27661
335,25449
336,25307
337,25022
338,24104
339,23470
340,23091
341,23197
342,23108
343,22820
344,23374
345,23661
346,23375
347,22400
348,23444
349,23301
350,23196
351,23255
352,23500
353,23068
354,23332
355,22764
356,21181
357,21702
358,21253
359,21593
360,21403
361,19831
362,19524
363,19036
364,19493
365,19518
366,20078
367,19337
368,19534
370,19487
371,19502
372,19439
373,19530
374,19627
375,19558
376,19286
377,19111
378,19589
379,19408
380,18379
381,18208
382,18482
383,18185
384,17953
385,18092
386,18398
387,18140
388,15652
389,16578
390,16513
391,16815
392,16598
393,16542
394,16845
395,25559
396,42043
397,41040
398,42259
399,28096
400,36418
401,35609
402,35916
403,36362
404,36001
405,36019
406,36062
407,35250
408,35669
409,35770
410,23552
411,0
412,0
413,26347
414,32397
415,27764
416,27807
417,27890
418,28310
419,27983
420,27655
421,27916
422,26636
423,25666
424,25250
425,25480
426,25366
427,25302
428,25688
429,25235
430,25717
431,25586
432,25005
433,25007
434,25268
435,25129
436,25279
437,25156
438,23857
439,22865
440,22718
441,22425
442,20713
443,21088
444,21171
445,20886
446,20998
447,21131
448,21013
449,20154
450,21296
451,21338
452,21069
453,21458
454,21542
455,20955
456,21165
457,21408
458,21229
459,21032
460,19739
461,19890
462,19531
463,19745
464,19547
465,19480
466,17817
467,18101
468,17797
469,18096
470,18019
471,17600
472,17894
473,18020
