secs_elapsed,interval_qps
1,152636
2,43528
3,52813
4,85694
5,44475
6,23301
7,1283
9,1
12,13280
13,0
14,0
15,16717
16,7804
17,0
18,0
19,0
20,11268
21,7963
22,34802
23,37582
24,36993
25,41114
26,39616
27,38908
28,41057
29,50581
30,30498
31,41622
32,45799
33,31373
34,35036
35,22497
36,2614
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,7975
47,30059
48,32176
49,33333
50,32335
51,33217
52,38238
53,38019
54,13942
55,34923
57,37751
58,25253
59,31699
60,5380
61,1683
62,186
63,0
64,0
65,125
66,20393
67,33045
70,13561
71,1297
72,13467
73,32503
74,31847
75,31681
76,17812
77,32391
78,32378
79,34256
80,33154
81,33320
83,38039
84,32112
85,29895
86,5010
87,31
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,17947
96,31983
97,4651
98,27837
99,31855
100,31551
101,25723
102,31370
103,31413
104,29200
105,13361
106,27931
107,28546
108,15964
109,1285
110,522
111,282
112,180
113,202
114,227
115,243
116,144
117,188
118,201
119,29234
120,21136
121,4818
122,29511
123,34321
124,33771
125,35634
126,35263
127,34279
128,32815
129,17723
130,25857
131,68
132,166
133,11020
134,29692
135,29083
136,17090
137,55
138,2
139,0
140,0
141,142
142,34
143,32
144,10704
145,29177
146,30347
147,31118
148,21584
149,17921
150,25672
151,33428
153,40272
154,32452
155,22655
156,118
157,104
158,86
159,29
160,0
161,0
162,0
163,0
164,7474
165,27590
166,25522
167,22659
168,2700
169,29901
170,31848
171,31695
172,31556
173,34952
174,39009
175,38664
176,37236
177,34872
178,31819
179,31379
180,4804
181,0
182,0
183,0
184,0
185,0
186,0
187,9724
188,29443
189,25595
190,23
191,17
192,2679
193,32258
194,32119
195,29221
196,31101
197,32509
199,43901
200,31840
201,31515
202,14926
203,22
204,18
205,16
206,16
207,2
208,0
209,0
210,0
211,0
212,0
213,26638
214,32215
215,2001
216,22038
217,26382
219,28717
220,27055
221,30253
222,30841
223,31063
224,32007
225,30883
226,26823
227,28
228,17
229,0
230,0
231,0
232,0
233,0
234,4
235,18
236,20
237,69
238,7076
239,23764
240,15970
241,30783
242,34011
243,35475
244,30853
245,29568
246,29891
247,29492
248,11555
249,130
250,0
251,0
252,0
253,6131
254,29875
255,29906
256,23568
257,28
258,11
259,16
260,5350
261,5569
262,30786
263,30227
264,29687
265,29138
266,27532
267,29571
268,21206
269,29148
270,28185
271,31570
272,12588
273,22
274,0
276,0
277,0
278,0
279,0
280,10
281,19
282,18
283,70
284,68
285,3104
286,25406
287,29413
288,28168
289,22135
290,16506
291,29290
292,20691
293,43
294,145
295,18
296,16
297,16
298,19393
299,29355
300,28389
301,9896
302,23
303,14
304,0
305,0
306,0
307,3
308,12465
309,28617
310,27507
311,28038
312,17145
313,7924
314,26
315,86
317,82
318,30
319,80
320,81
321,32
322,80
323,32
324,16730
325,29442
326,28988
327,28356
328,31945
329,31720
330,32772
331,33755
332,33936
333,33568
334,33237
335,32337
336,31175
337,31517
338,30795
339,30216
340,29877
341,27961
342,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,11674
364,31638
365,34428
366,32050
367,32445
368,31711
369,30503
370,22960
371,43
372,69
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,10
383,19762
384,12211
385,28358
386,29312
387,28877
388,29239
389,29554
390,17461
391,24346
392,28423
393,26926
394,29
395,16
396,10
397,0
398,0
400,0
401,0
402,2
403,18
404,18
405,118
406,20
407,21994
408,5292
409,8580
410,30327
411,29602
412,30933
413,33049
414,33244
415,32467
416,3108
417,29
418,8
419,0
420,14
421,67
422,65
423,15
424,18
425,17474
426,28999
427,28351
428,1248
429,8
430,26118
431,28253
432,28947
433,27915
434,25646
435,16439
436,29506
437,28990
438,28717
439,23952
440,38
441,22
442,0
443,0
444,0
445,0
446,0
447,12
448,76
449,76
450,25
451,73
452,1346
453,15036
454,24575
455,19205
456,18009
457,9235
458,112
459,5
460,175
461,119
462,25
463,161
464,156
465,77
467,175
468,136
469,92
470,151
471,329
472,1008
473,274
474,242
475,153
476,1441
477,6518
478,5925
479,7974
480,6251
481,13000
482,11517
483,6672
484,13361
485,68
486,89
487,189
488,129
489,2816
490,161
491,118
492,188
493,3021
494,181
495,125
496,190
497,3295
498,121
499,245
500,6635
501,197
502,270
503,2311
504,16
505,473
506,7060
507,406
508,6949
510,337
511,7170
512,5546
513,11501
514,10040
515,7731
516,12992
517,3407
518,11369
519,12122
520,10082
521,12397
522,1922
523,55
524,549
525,6611
526,261
527,117
528,182
529,7477
530,607
531,7260
532,188
533,23
534,61
535,1801
536,488
537,7742
538,558
539,6463
540,2262
541,497
542,4830
543,385
544,9700
545,14198
546,13500
547,11087
548,3398
549,12430
550,10848
551,10984
552,12114
553,4813
554,128
555,163
556,5599
557,217
558,197
559,196
560,206
561,7830
562,208
563,3940
564,135
565,76
566,17
567,201
568,686
569,4314
570,4531
571,691
572,4525
573,9225
574,5495
575,5215
576,15891
577,10295
578,13894
579,11881
580,10136
581,3995
582,14413
583,10430
584,11072
585,9508
586,72
587,49
588,67
589,93
590,187
591,303
592,1021
593,9976
594,628
595,3170
596,6555
597,2521
598,670
599,9278
601,839
